,title,grade,genre,people,genre2
219,도가니,9.27,드라마,4662926,드라마
220,도리화가,7.29,드라마,317505,드라마
221,도마 안중근,4.14,드라마,20318,드라마
222,도둑들,7.62,"범죄, 액션, 드라마",12984692,범죄
223,도레미파솔라시도,6.64,드라마,197672,드라마
224,도마뱀,7.08,"멜로/로맨스, 드라마",364848,멜로/로맨스
225,도희야,7.27,드라마,106781,드라마
226,독전,8.41,"범죄, 액션",5201715,범죄
227,돈을 갖고 튀어라,7.56,"코미디, 멜로/로맨스",0,로맨틱코미디
228,돈 크라이 마미,6.44,"스릴러, 드라마",975462,스릴러
229,돈을 갖고 튀어라,7.56,"코미디, 멜로/로맨스",0,로맨틱코미디
230,돈의 맛,6.79,드라마,1166025,드라마
231,돌아와요 부산항애,6.11,"범죄, 액션, 드라마",6954,범죄
232,돌려차기,7.23,"코미디, 액션",41401,코미디
233,돌멩이의 꿈,7.05,드라마,515,드라마
234,돌아오지 않는 해병,8.38,"전쟁, 드라마, 액션",0,전쟁
235,돌연변이,7.43,"드라마, 코미디",100543,코미디
236,동감,9.0,"멜로/로맨스, 판타지",0,멜로/로맨스
237,동갑내기 과외하기,7.82,코미디,0,코미디
238,동갑내기 과외하기2,6.44,코미디,514669,코미디
239,동네사람들,7.13,"액션, 스릴러",461693,스릴러
240,동주,9.18,드라마,1176468,드라마
241,동창생,7.31,"액션, 드라마",1048280,액션
242,돼지가 우물에 빠진 날,7.89,드라마,0,드라마
243,된장,7.38,미스터리,45180,미스터리
244,두근두근 내 인생,7.51,드라마,1624573,드라마
245,두만강,7.87,"드라마, 전쟁",2542,전쟁
246,두사부일체,7.44,"코미디, 액션",0,코미디
247,디 워,7.54,"판타지, 액션",7855474,판타지
248,디 워 2,0.0,"판타지, SF, 모험",0,판타지
249,또 하나의 약속,9.25,드라마,497994,드라마
250,똑바로 살아라,0.0,범죄,0,범죄
251,똥개,7.81,드라마,0,드라마
252,똥파리,9.0,드라마,123029,드라마
253,뚫어야 산다,2.96,"범죄, 코미디, 액션",0,범죄
254,라디오 스타,9.2,"코미디, 드라마",1590774,코미디
255,라라,8.0,"멜로/로맨스, 드라마",1860,멜로/로맨스
256,라스트 갓파더,6.24,코미디,2541603,코미디
257,라이터를 켜라,7.66,코미디,0,코미디
258,럭키,8.76,코미디,6975631,코미디
259,런닝맨,7.77,"액션, 코미디",1422844,액션
260,레나,8.2,"멜로/로맨스, 드라마",3523,멜로/로맨스
261,레드슈즈,9.15,"애니메이션, 모험",818662,애니메이션
262,레드 아이,3.23,공포,210793,공포
263,레슬러,6.43,"드라마, 코미디",771159,코미디
264,로니를 찾아서,7.82,드라마,1478,드라마
265,로마서 8:37,9.0,"드라마, 가족, 범죄",5059,가족
266,"로봇, 소리",8.25,드라마,476653,드라마
267,롤러코스터,6.42,코미디,270156,코미디
268,루시드 드림,8.05,"SF, 스릴러",102170,SF
269,리얼,4.43,"액션, 느와르",470195,느와르
270,마고,3.83,드라마,0,드라마
271,마녀,8.57,"미스터리, 액션",3189091,미스터리
272,마담 뺑덕,6.54,멜로/로맨스,471248,멜로/로맨스
273,마더,9.45,"범죄, 미스터리",2981953,미스터리
274,마돈나,7.81,드라마,18276,드라마
275,마스터,8.65,"액션, 범죄",7147924,액션
276,마약왕,7.18,"범죄, 드라마",1864077,범죄
277,마유미,8.07,"드라마, 범죄, 스릴러",0,범죄
278,마음이...,8.96,"가족, 드라마",817939,가족
279,마이웨이,7.17,드라마,2142670,드라마
280,마이 파더,8.41,드라마,901055,드라마
281,마파도,7.16,"코미디, 모험",2636857,코미디
282,만남의광장,6.03,코미디,1211528,코미디
283,만추,9.44,드라마,850411,드라마
284,말아톤,9.22,드라마,4196859,드라마
285,말죽거리 잔혹사,8.77,"드라마, 액션",604972,액션
286,망원동 인공위성,8.72,다큐멘터리,3022,다큐멘터리
287,멋진 하루,8.19,"드라마, 멜로/로맨스",397669,멜로/로맨스
288,명량,8.88,"액션, 드라마",17615658,액션
289,맨데이트: 신이 주신 임무,3.43,"액션, 스릴러, 판타지",12144,액션
290,맨발의 기봉이,7.21,"코미디, 드라마",2005180,코미디
291,맨홀,6.03,"공포, 스릴러",133665,"공포, 스릴러"
292,메소드(영화),8.07,"드라마, 멜로/로맨스",26651,멜로/로맨스
293,모노폴리,6.4,"범죄, 스릴러",358299,범죄
294,목숨 건 연애,7.53,"멜로/로맨스, 코미디",48010,로맨틱코미디
295,목포는 항구다,6.87,"코미디, 액션",425725,코미디
296,몬스터,6.26,스릴러,526547,스릴러
297,무뢰한,7.3,"멜로/로맨스, 드라마",415510,멜로/로맨스
298,무방비도시,7.55,"범죄, 액션",1600856,범죄
299,무사,8.84,"드라마, 액션",0,액션
300,무서운 이야기,4.97,공포,97804,공포
301,무서운 이야기 2,6.62,공포,495535,공포
302,무서운 이야기 3,4.97,공포,97804,공포
303,무서운 집,8.94,공포,1079,공포
304,무수단,7.64,"미스터리, 스릴러",15882,스릴러
305,무영검,6.81,액션,519722,액션
306,"무현, 두 도시 이야기",9.44,다큐멘터리,197225,다큐멘터리
307,미나 문방구,7.06,"드라마, 코미디",334323,코미디
308,미녀는 괴로워,8.79,"코미디, 멜로/로맨스",6081480,로맨틱코미디
309,미술관 옆 동물원,8.75,"멜로/로맨스, 드라마",0,멜로/로맨스
310,미스터 고,7.76,"드라마, 코미디, 액션",1329061,코미디
311,미스터 소크라테스,7.78,"범죄, 액션, 코미디",1066103,범죄
312,미스 프레지던트,8.13,다큐멘터리,6749,다큐멘터리
313,미쓰 백,9.26,드라마,723110,드라마
314,미쓰 와이프,8.68,코미디,988451,코미디
315,미씽: 사라진 여자,8.53,"미스터리, 가족",1153201,미스터리
316,미워도 다시한번,0.0,드라마,0,드라마
317,미인,4.43,드라마,0,드라마
318,미인도,6.32,"멜로/로맨스, 드라마",2342579,멜로/로맨스
319,미지왕,6.44,코미디,0,코미디
320,미확인 동영상: 절대클릭금지,6.15,"공포, 스릴러",867386,"공포, 스릴러"
321,밀양(영화),7.89,드라마,1604819,드라마
322,밀정,8.57,액션,7500457,액션
323,바람,9.27,"드라마, 액션, 가족",103628,액션
324,바람과 함께 사라지다,7.59,"코미디, 액션",4909944,코미디
325,바람난 가족,6.85,드라마,0,드라마
326,바람 바람 바람,6.65,코미디,1194239,코미디
327,바람의 파이터,8.17,"액션, 드라마",1442299,액션
328,바람 피기 좋은 날,5.79,"멜로/로맨스, 코미디",1708979,로맨틱코미디
329,바르게 살자,8.05,코미디,2135606,코미디
330,바보,8.05,드라마,967654,드라마
331,바보들의 행진,8.95,"드라마, 코미디, 모험",0,코미디
332,바비,6.88,드라마,2416,드라마
333,바이오맨,8.45,"SF, 가족, 액션",0,SF
334,박대박(영화),0.0,코미디,0,코미디
335,박수건달,8.11,코미디,3897969,코미디
336,박수칠 때 떠나라,7.77,"코미디, 미스터리",2073641,코미디
337,박열,8.48,"드라마, 모험",2359707,드라마
338,박쥐,6.26,멜로/로맨스,2208165,멜로/로맨스
339,박하 사탕,9.38,드라마,0,드라마
340,반가운 살인자,7.6,"코미디, 범죄, 스릴러",590531,코미디
341,반두비,6.77,"드라마, 멜로/로맨스",7763,멜로/로맨스
342,반창꼬,8.58,"드라마, 멜로/로맨스",2475797,멜로/로맨스
343,반칙왕,8.38,"코미디, 드라마",0,코미디
344,밤섬해적단 서울불바다,8.92,다큐멘터리,2427,다큐멘터리
345,밤의 여왕,6.88,"멜로/로맨스, 코미디",252475,로맨틱코미디
346,방울토마토,6.89,"가족, 드라마",18478,가족
347,방자전,7.41,드라마,2985556,드라마
348,방황하는 칼날,7.48,"스릴러, 범죄",989593,스릴러
349,배우는 배우다,6.74,드라마,112029,드라마
350,백야,8.81,드라마,0,드라마
351,백야행 - 하얀 어둠 속을 걷다,7.96,"미스터리, 멜로/로맨스",949896,미스터리
352,번지점프를 하다,8.45,멜로/로맨스,0,멜로/로맨스
353,범죄도시,9.28,액션,6880546,액션
354,범죄와의 전쟁: 나쁜놈들 전성시대,8.63,"범죄, 드라마",4720172,범죄
355,범죄의 여왕,8.42,스릴러,43866,스릴러
356,범죄의 재구성,8.78,"범죄, 스릴러, 코미디",943241,범죄
357,베를린,7.83,"액션, 드라마",7166688,액션
358,베스트셀러,7.6,미스터리,1081752,미스터리
359,베테랑,9.24,"액션, 드라마",13414484,액션
360,변호인,9.29,드라마,11375123,드라마
361,보안관,8.26,"범죄, 코미디",2588628,범죄
362,보통사람,8.49,드라마,383336,드라마
363,복면달호,7.49,"코미디, 드라마",1507970,코미디
364,복수는 나의 것,8.38,"범죄, 스릴러",0,범죄
365,복수혈전,8.86,액션,0,액션
366,봄날은 간다,9.31,"드라마, 멜로/로맨스",0,멜로/로맨스
367,봉이 김선달,8.26,"코미디, 모험",2051386,코미디
368,봉자,5.74,드라마,0,드라마
369,부당거래,8.69,"범죄, 드라마",2725860,범죄
370,부라더,7.83,코미디,1492903,코미디
371,부러진 화살,8.92,드라마,3460212,드라마
372,부산행,8.59,"액션, 스릴러",11567662,스릴러
373,분노의 윤리학,6.73,"범죄, 드라마",225618,범죄
374,분홍신,5.53,"공포, 스릴러",1073189,"공포, 스릴러"
375,불꽃처럼 나비처럼,6.95,"드라마, 멜로/로맨스",1670652,멜로/로맨스
376,불신지옥,7.92,"공포, 미스터리",248291,공포
377,불청객,5.41,"공포, 스릴러",31,"공포, 스릴러"
378,불한당: 나쁜 놈들의 세상,8.14,"범죄, 액션, 드라마",963239,범죄
379,뷰티풀 선데이,7.37,"드라마, 액션, 스릴러",169036,액션
380,뷰티 인사이드,8.26,멜로/로맨스,2058096,멜로/로맨스
381,브라보 마이 라이프,8.01,"코미디, 드라마",71409,코미디
382,블라인드,8.08,스릴러,2367942,스릴러
383,블랙잭,0.0,애니메이션,0,애니메이션
384,블루,9.03,드라마,0,드라마
385,비밀은 없다,7.0,스릴러,250975,스릴러
386,비스티 보이즈,7.1,드라마,719587,드라마
387,비열한 거리,8.79,"범죄, 액션, 느와르",1829887,범죄
388,비천괴수,0.0,1985.01.12. 개봉,0,1985.01.12. 개봉
389,비천무,5.99,"액션, 멜로/로맨스",0,액션
390,비트,8.85,액션,0,액션
391,빅매치,7.82,액션,1177435,액션
392,빨간마후라,7.5,"액션, 드라마",1201944,액션
393,뺑반,7.16,"범죄, 액션",1827020,범죄
394,뻐꾸기도 밤에 우는가,0.0,드라마,0,드라마
395,사과,7.9,"멜로/로맨스, 드라마",58233,멜로/로맨스
396,사냥,5.92,"액션, 스릴러",645834,스릴러
397,사도,8.49,드라마,6247651,드라마
398,사랑니(영화),10.0,"멜로/로맨스, 드라마",135698,멜로/로맨스
399,사랑방 손님과 어머니,9.01,"드라마, 멜로/로맨스",0,멜로/로맨스
400,사랑하기 때문에,8.38,"코미디, 멜로/로맨스",340936,로맨틱코미디
401,사랑하는 사람아,8.95,"드라마, 멜로/로맨스",0,멜로/로맨스
402,사생결단,7.43,"느와르, 액션",1724709,느와르
403,산딸기,0.0,멜로/로맨스,0,멜로/로맨스
404,산상수훈,8.29,드라마,55033,드라마
405,살어리랏다,8.82,드라마,0,드라마
406,살인의 추억,9.65,"범죄, 미스터리",0,미스터리
407,살인의뢰,7.04,"범죄, 스릴러",855988,범죄
408,살인자,4.13,스릴러,88199,스릴러
409,살인자의 기억법,8.17,"범죄, 스릴러",2658589,범죄
410,삼거리극장,8.05,뮤지컬,16063,뮤지컬
411,삼인조,5.98,코미디,0,코미디
412,상류사회,5.66,드라마,768249,드라마
413,상의원,7.8,드라마,790370,드라마
414,색즉시공,7.28,코미디,0,코미디
415,생과부 위자료 청구소송,7.1,"드라마, 코미디",0,코미디
416,생활의 발견,7.63,"드라마, 멜로/로맨스",0,멜로/로맨스
417,서부전선,7.17,"전쟁, 드라마",609063,전쟁
418,서양골동양과자점 앤티크,8.21,드라마,1181332,드라마
419,서편제,8.67,드라마,0,드라마
420,석조저택 살인사건,8.21,"스릴러, 서스펜스",353517,스릴러
421,선데이서울,3.15,"코미디, SF, 판타지",36865,코미디
422,선생 김봉두,8.93,"코미디, 드라마",0,코미디
423,설국열차,7.98,"SF, 액션, 드라마",9352605,SF
424,섬. 사라진 사람들,7.84,스릴러,20165,스릴러
425,성난 변호사,8.49,"범죄, 액션",1131154,범죄
426,성냥팔이 소녀의 재림,4.16,"액션, 판타지, SF",0,액션
427,성실한 나라의 앨리스,8.13,드라마,44100,드라마
428,세기말,7.51,드라마,0,드라마
429,세븐 데이즈,9.06,"범죄, 스릴러",2048339,범죄
430,소공녀,9.2,"멜로/로맨스, 드라마",59685,멜로/로맨스
431,소름,7.26,"공포, 미스터리",0,공포
432,소셜포비아,7.81,"스릴러, 드라마",251645,스릴러
433,소수의견,8.71,드라마,383582,드라마
434,소원,9.32,드라마,2711094,드라마
435,수상한 그녀,9.09,"코미디, 드라마",8660623,코미디
436,수색역,8.8,출구·버스,1821,출구·버스
437,순수의 시대,6.41,드라마,470308,드라마
438,순정,8.93,드라마,240704,드라마
439,순천,9.0,다큐멘터리,3855,다큐멘터리
440,숨바꼭질,6.78,스릴러,5604106,스릴러
441,숲속의 바보,0.0,"드라마, 멜로/로맨스",0,멜로/로맨스
442,쉿! 그녀에겐 비밀이에요,6.34,"드라마, 멜로/로맨스",2382,멜로/로맨스
443,슈팅걸스,0.0,"드라마, 가족",5591,드라마
444,슈퍼스타 감사용,9.03,"드라마, 코미디",627199,코미디
445,스물,8.6,"코미디, 드라마",3044859,코미디
446,스승의 은혜,6.44,"공포, 스릴러",550215,"공포, 스릴러"
447,스카우트,8.17,"코미디, 멜로/로맨스",292462,로맨틱코미디
448,스캔들 - 조선남녀상열지사,7.91,"드라마, 멜로/로맨스",0,멜로/로맨스
449,스타박'스 다방,8.33,드라마,2772,드라마
450,스플릿,9.15,드라마,758195,드라마
451,슬로우 비디오,7.77,드라마,1169546,드라마
452,쉬리,8.86,"액션, 멜로/로맨스",0,액션
453,슈퍼맨이었던 사나이,7.48,"코미디, 드라마",550284,코미디
454,시간이탈자,7.88,스릴러,1202511,스릴러
455,"시발, 놈 - 인류의 시작",7.96,"코미디, 드라마",1159,코미디
